Tabla Q:
Precisión de datos: 3 decimales
0--, 6,575, 0,000, 6,952, 0,000
1--, 13,894, 0,000, 13,922, 3,472
2--, 27,862, 0,000, 26,186, 6,954
3--, 54,782, 0,000, 0,000, 13,779
4--, 0,000, 0,000, 0,000, 0,000
5--, 58,547, 0,000, 0,000, 0,000
6--, 0,000, 0,000, 0,000, 0,000
7--, 13,187, 0,000, 3,149, 0,000
8--, 6,056, 0,000, 1,412, 6,379
9--, 0,000, 0,000, 0,694, 3,062
10--, 0,332, 0,000, 0,339, 1,447
11--, 0,173, 0,000, 0,175, 0,708
12--, 0,086, 0,000, 0,050, 0,353
13--, 0,023, 0,000, 0,000, 0,169
14--, 3,425, 3,475, 13,691, 0,000
15--, 6,907, 6,955, 27,838, 5,817
16--, 13,810, 13,862, 57,617, 13,787
17--, 27,788, 24,956, 118,681, 28,133
18--, 24,219, 0,000, 0,000, 41,933
19--, 28,875, 29,202, 27,676, 119,049
20--, 14,157, 0,000, 12,870, 57,856
21--, 6,943, 6,423, 5,806, 27,804
22--, 0,000, 2,996, 0,000, 13,093
23--, 0,000, 0,000, 0,000, 0,000
24--, 0,112, 0,711, 0,161, 0,000
25--, 0,062, 0,353, 0,083, 0,318
26--, 0,039, 0,171, 0,025, 0,174
27--, 0,015, 0,072, 0,000, 0,047
28--, 1,717, 6,627, 6,922, 0,000
29--, 3,415, 13,884, 13,868, 3,423
30--, 6,925, 27,793, 28,054, 6,903
31--, 0,000, 56,883, 56,374, 13,738
32--, 28,186, 119,088, 28,886, 27,470
33--, 14,204, 58,262, 13,812, 58,491
34--, 6,984, 28,083, 6,955, 28,516
35--, 3,457, 13,437, 0,000, 14,100
36--, 0,000, 0,000, 0,000, 0,000
37--, 0,000, 0,000, 0,096, 0,000
38--, 0,095, 0,331, 0,061, 0,030
39--, 0,047, 0,155, 0,037, 0,153
40--, 0,021, 0,082, 0,017, 0,061
41--, 0,011, 0,031, 0,000, 0,035
42--, 0,000, 3,449, 3,410, 0,000
43--, 1,622, 6,913, 6,843, 1,720
44--, 3,369, 13,930, 0,000, 3,413
45--, 0,000, 0,000, 0,000, 0,000
46--, 13,887, 59,060, 13,741, 0,000
47--, 0,000, 28,769, 7,002, 28,806
48--, 3,424, 14,154, 3,465, 14,267
49--, 1,733, 6,944, 1,717, 7,016
50--, 0,830, 0,000, 0,000, 3,497
51--, 0,000, 0,000, 0,000, 0,000
52--, 0,195, 0,143, 0,047, 0,000
53--, 0,098, 0,046, 0,021, 0,091
54--, 0,044, 0,037, 0,011, 0,044
55--, 0,023, 0,016, 0,000, 0,022
56--, 0,000, 0,000, 0,000, 0,000
57--, 0,718, 3,258, 3,409, 0,000
58--, 1,608, 6,794, 6,914, 1,630
59--, 0,000, 0,000, 13,879, 3,420
60--, 6,785, 27,823, 0,000, 6,908
61--, 0,000, 0,000, 0,000, 0,000
62--, 1,696, 7,000, 1,715, 0,000
63--, 0,815, 3,490, 0,859, 3,469
64--, 0,422, 1,724, 0,385, 1,692
65--, 0,204, 0,000, 0,195, 0,789
66--, 0,102, 0,096, 0,098, 0,393
67--, 0,049, 0,048, 0,047, 0,196
68--, 0,024, 0,022, 0,020, 0,098
69--, 0,011, 0,010, 0,000, 0,048
70--, 0,160, 0,000, 0,693, 0,000
71--, 0,321, 1,561, 1,445, 0,321
72--, 0,788, 3,376, 0,000, 0,719
73--, 0,000, 0,000, 0,000, 0,000
74--, 3,405, 13,767, 3,423, 0,000
75--, 0,000, 0,000, 1,709, 6,871
76--, 0,822, 3,441, 0,826, 3,428
77--, 0,395, 1,726, 0,417, 1,667
78--, 0,193, 0,855, 0,203, 0,842
79--, 0,084, 0,394, 0,099, 0,420
80--, 0,048, 0,194, 0,049, 0,204
81--, 0,023, 0,098, 0,023, 0,099
82--, 0,010, 0,048, 0,010, 0,047
83--, 0,005, 0,023, 0,000, 0,021
84--, 0,067, 0,340, 0,335, 0,000
85--, 0,177, 0,694, 0,784, 0,145
86--, 0,374, 1,590, 1,630, 0,358
87--, 0,804, 0,000, 3,361, 0,695
88--, 1,685, 6,869, 0,000, 1,657
89--, 0,000, 0,000, 0,000, 0,000
90--, 0,354, 1,701, 0,401, 0,000
91--, 0,189, 0,825, 0,198, 0,703
92--, 0,095, 0,402, 0,096, 0,401
93--, 0,044, 0,196, 0,046, 0,199
94--, 0,000, 0,101, 0,023, 0,097
95--, 0,012, 0,048, 0,010, 0,049
96--, 0,005, 0,022, 0,005, 0,024
97--, 0,002, 0,010, 0,000, 0,009
98--, 0,000, 0,159, 0,141, 0,000
99--, 0,000, 0,350, 0,375, 0,063
100--, 0,000, 0,780, 0,776, 0,181
101--, 0,000, 1,573, 1,648, 0,381
102--, 0,000, 3,422, 0,759, 0,743
103--, 0,000, 0,000, 0,399, 1,627
104--, 0,000, 0,837, 0,189, 0,723
105--, 0,000, 0,397, 0,083, 0,396
106--, 0,000, 0,199, 0,043, 0,173
107--, 0,000, 0,096, 0,000, 0,087
108--, 0,000, 0,000, 0,000, 0,000
109--, 0,000, 0,024, 0,006, 0,000
110--, 0,000, 0,011, 0,002, 0,012
111--, 0,000, 0,004, 0,000, 0,004
